אֵב	ev
בִּמְהִירוּת	bimhirut
בִּמְהֵרָה	bimhera
בְּמוֹ יָדָיו	bmo yadav
בַּמָּקוֹם	bamakom
בִּמְקוֹם	bimqom
בְּמֶשֶׁךְ	bmeshekh
‎‎בָּן	ban
בָּן	ban
בֵּן	ben
בֶּן־זוֹנָה	ben-zona
בֶּן יִשְׂרָאֵל	ben yisrael
בֵּן פּוֹרָת יוֹסֵף	ben porat yosef
בֶּן תַּרְבּוּת	ben tarbut
בֶּן־תַּרְבּוּת	ben tarbut
בַּנַּאי	banai
בָּנָאלִי	banali
בְּנִגּוּד לְ־	bnigud l-
בַּנְגְּלָדֶשׁ	bangladesh
בָּנָה	bana
בְּנָהּ	bnah
בַּנּוּ	banu
בָּנוּ	banu
בָּנוּ	banu
בְּנוֹ	bno
בְּנוּ	bnu
בָּנוֹת	banot
בֶּנזִין	benzin
בֶּנֶט	benet
בְּנֵי בְּרַק	bnei brak
בָּנָיו	banav
בְּנֵי יִשְׂרָאֵל	bne yisrael
בְּנֵיכֶם	bnechem
בָּנִים	banim
בִּנְיָמִין	binyamin
בְּנֵי מִצְוָה	bne mitsva
בִּנְיָן	binyan
בָּנָנָה	banana
בָּנָנוֹת	bananot
בַּנְק	bank
בַּנְק דָּם	bank-dam
בַּנְק מֶרְכָּזִי	bank merkazi
בְּנֹתָיו	bnotav
בְּנֹתֵיכֶם	bnotechem
בְּסֵדֶר	bseder
בְּסֵדֶר גָּמוּר	bseder gamur
בָּסִיס	basis
בְּסִיסֵי־	bsisei-
בְּסִיסִי	bsisi
בְּעַד	bad
בְּעוֹד מוֹעֵד	bod moed
בָּעַט	baat
בְּעָיָה	beaya
בְּעִיטָה	bita
בְּעָיָתִי	baayati
בַּעַל	baal
בַּעַל	baal
בָּעַל	baal
בַּעַל דִּין	baal din
בַּעַל זְבוּב	baal zvuv
בַּעַל חַיִּים	baal khayim
בְּעָלִים	balim
בְּעֶצֶם־	betzem-
בְּעֶצֶם	betzem
בַּעֲקִיפִין	baakifin
בְּעִקָּר	bikar
בַּעַר	baar
בָּעַר	baar
בִּעֵר	bier
בְּעֹר	bor
בִּפְנִים	bifnim
בִּצָּה	bitza
בָּצָל	batsal
בָּצֵק	batsek
בָּצֵק פָּרִיךְ	batsek parikh
בַּקְבּוּק	bakbuk
בִּקְבֵּק	bikbek
בַּקְטֶרְיוֹלוֹגְיָה	bacteriologya
בָּקָר	baqar
בִּקֵּר	biqqer
בֹּקֶר	boker
בֹּקֶר	boqer
בְּקָרוֹב	bkarov
בֹּקֶר טוֹב	boker tov
בְּקָרִים	bkarim
בִּקֹּרֶת	biqoret
בַּקְּרַת אַקְלִים	bakarat aklim
בִּקֵּשׁ	bikesh
בַּקָּשָׁה	bakasha
בַּקְּשׁוֹת־	bakshot-
בַּקָּשׁוֹת	bkakashot
בַּקָּשַׁת־	bakashat
בִּקַּשְׁתְּ	bikasht
בִּקַּשְׁתָּ	bikashta
בַּר	bar
בָּר	bar
בָּר	bar
בָּרָא	bara
בֵּרֵא	bere
בַּרְבּוּר	barbur
בֹּרֶג	boreg
בָּרָד	barad
בַּרְדְּלָס	bardlas
בַּרְוָז	barvaz
בַּרְוָז	barvaz
בַּרְוָזוֹן	barvazon
בְּרוּחַ הַזְּמַן	bruach hazman
בָּרוּךְ	barukh
בָּרוּךְ הַבָּא	barukh haba
בְּרוּכִים הַבָּאִים	bruchim habaim
בְּרוֹקוֹלִי	brokoli
בָּרוּר	barur
בֶּרֶז	berez
בְּרָזִיל	brazil
ברזים	brazim
בַּרְזֶל	barzel
בָּרַח	barach
בָּרִיא	bari
בְּרִיאָה	bria
בְּרִיאוּת	briut
בְּרִיאוּתִי	briuti
בְּרִיחַ	briakh
בְּרִיטַנְיָה	britanya
בֶּרִילְיוּם	berilyum
בְּרִית	brit
בְּרִיתוֹ	brito
בָּרַךְ	barakh
בֶּרֶךְ	berekh
בֵּרֵךְ	berekh  berakh
בֵּרֵךְ	berekh, berakh
בֹּרַךְ	borakh
בֹּרַךְ	borakh
בְּרָכָה	brakha
בְּרֵכָה	brekha
בְּרָכָה אַחֲרוֹנָה	brakha akharona
בְּרָכָה רִאשׁוֹנָה	brakha rishona
בִּרְכּוֹן	birkon
בִּרְכוֹת	birkhot
בְּרָכוֹת	brakhot
בִּרְכַּיִים	birkayim
בִּרְכַּת	birkat
בֶּרְלִין	berlin
בְּרַם	bram
בַּר מִינַן	bar minan
בַּרְמֶן	barmen
בֶּרמַן	berman
בַּר מִצְוָה	bar mitsva
בָּרָק	barak
בְּרֶקְזִיט	brekzit
בְּרָקִים	brakim
בְּרֵרָה	brera
בֹּשׁ	bosh
בִּשְׁבִיל	bishvil
בִּשְׁבִילִי	bishvili
בְּשוּם אוֹפֶן	bshum ofen
בִּשֵּׁל	bishel
בְּשֶׁל	bshel
בשלושה דברים אדם ניכר: בכוסו, בכיסו, ובכעסו.	bishlosha dvarim adam nikar bkhoso, bkhiso, uvkhaaso.
בֹּשֶׂם	bosem
בָּשָׂר	basar
בִּשֵּׂר	biser
בָּשָׂר לָבָן	basar lavan
בַּת	bat
בְּתֵאָבוֹן	bteavon
בִּתּוֹ	bito
בְּתוֹךְ	btokh
בָּתוּל	batul
בְּתוּלָה	betula
בְּתוּלוֹת	btulot
בְּתוּלַת	btulat
בָּתֵּי־כְּנֶסֶת	bate-kneset
בָּתִּים	batim
בַּת יָם	bat yam
בַּת שֶׁבַע	bat sheva
גֵּאֶה	gee
גַּאֲוָה	gaava
גֵּאוֹמֶטְרְיָה	geometrya
גָּאוֹן	gaon
גָּאַל	gaal
גְּאֻלָּה	gula
גַּב	gav
גֵּב	gev
גַּבַּאי	gabai
גַּבָּה	gaba
גָּבָה	gava
גָּבַהּ	gavah
גָּבֹהַּ	gavoah
ג־ב־הּ	g-b-h
גִּבָּה	giba
גֹּבַהּ	govah
גְּבוּל	gvul
גְּבוּלוֹת	gvulot
גִּבּוֹר	gibor
גְּבִינָה	gvina
גְּבִינוֹת	gvinot
גָּבִיעַ	gavia
גָּבִישׁ	gavish
גָּבַל	gaval
גְּבַל	gval
גִּבְעָה	giva
גִּבְעוֹל	givol
גִּבְעָתַיִם‎	givatayim
גָּבַר	gavar
גֶּבֶר	gever
גְּבַרְבַר	gvarvar
גַּבְרִי	gavri
גַּבְרִי	gavri
גַּבְרִיאֵל	gavriel, gabriel
גְּבָרִים	gvarim
גְּבִרְתִּי	gvirti
גְּבַרְתָּן	gvartan
גְּבַרְתֶּן	gvarten
גַּג	gag
גַּד	gad
גָּד	gad
גַּדָּא	gada
גָּדָה	gada
גָּדוֹל	gadol
גָּדוֹת	gadot
גְּדוֹת־	gdot-
גְּדִי	gdi
גְּדִיָּה	gediya
גָּדַל	gadal
גָּדֹל	gadol
גִּדֵּל	gidel
גֹּדֶל	godel
גֶּדֶם	gedem
גִּדְעוֹן	gidon
גְּדֵרָה	gdera
גֵּו	gev
גּוֹ	go
גּוֹבָה	gova
גּוֹבֶה	gove
גּוֹי	goi
גְּוִיָּה	gviya
גּוֹיִים	goyim
גּוֹלָן	golan
גּוֹלְף	golf
גּוֹנֵב	gonev
גּוֹנְבוֹת	gonvot
גּוֹנְבִים	gonvim
גּוֹנֶבֶת	gonevet
גּוֹסְפֶּל	gospel
גּוּף	guf
גּוּפָה	gufa
גּוּפִים	gufim
גּוּץ	guts
ג׳וּק	juk
גּוּר	gur
גּוֹרָל	goral
גּוּשׁ	gush
גּוּשׁ דָּן	gush dan
גּוּשׁ עֶצְיוֹן	gush etsyon
גּוּשׁ קָטִיף	gush katif
גַּז	gaz
גֶ׳ז	jez
גִּזְבָּר	gizbar
גְּזוּזְטְרָה	gzuztra
גָּזַל	gazal
גֶּזַע	geza
גִּזְעָן	gizean
גָּזַר	gazar
גֶּזֶר	gezer
גִּזְרָה	gizra
גְּזֵרָה	gzera
גזרים	gzarim
גָּחוׂן	gakhon
גָּחוּן	gakhun
גֵּט	get
גִּטִּין	gitin
גַּיְא	gay
גִ׳יבְּרִישׁ	jibrish
גִּיגָבַּיְט	gigabayt
גִּיד הַנָּשֶׁה	gid hanashe
גֵּיהִנּוֹם	geihinom
גִּיּוּס	giyus
גִּיּוּר	giyur
גִיוֹרֶת	giyoret
גִּיחוֹן	gikhon
גִּיטָרָה	gitara
גִּיל	gil
גִּילָה	gila
גִּימֶ״ל	gimel
גִּימֶל	gimel
גִ׳ינְס	jins
גִּיס	gis
גִּיֵּס	giyes
גֻּיַּס	guyas
גִּיסָה	gisa
גִּיר	gir
גִּיֵּר	giyer
גִירִים	girim
גִּירִית	girit
גִ'ירָף	jiraf
גִ׳ירָפָה	jirafa
גִּישָׁה	gisha
גַּל	gal
גִּלְגּוּל	gilgul
גִּלְגּוּל	gilgul
גַּלְגַּל	galgal
גִּלְגָּל	gilgal
גִּלְגֵּל	gilgel
גַּלְגַּל הַצָּלָה	galgal hatsala
גַּלְגַּל שִׁנַּיִם	galgal shinayim
גַּלְגֶּלֶת	galgelet
גֻּלְגֹּלֶת	gulgolet
גָּלָה	gala
גִּלָּה	gila
גֻּלָּה	gula
גִּלּוּחַ	giluakh
גִּלּוּחַ	giluakh
גִּלּוּי	giluy
גְּלוּיָה	gluya
גִּלּוּיִים	giluyim
גְּלוּלָה	glula
גָּלוּת	galut
גַּלָּח	galakh
גִּלֵּחַ	gileakh
גַּל חֹם	gal khom
גְּלִידָה	glida
גְּלִידוֹת	glidot
גְּלִידַת	glidat
גָּלִיל	galil
גְּלִילָהּ	glilah
גָּלְיָת	golyat
גָּלַל	galal
גֹּלֶם	golem
גַּלְעֵד	galed
גִּלְעָד	gilad
גַּל־קוֹל	gal-kol
גָּלַקְסִיָה	galaksia
גַּלְשַׁן שֶׁלֶג	galshan sheleg
גַּם	gam
גם כן	gam ken
גָּמָא	gama
גִּמְגּוּם	gimgum
גַמָּד	gamad
גִּמֵּד	gimed
גַּמָּדִי	gamadi
גַּמָּדִית	gamadit
גַּמֶּדֶת	gameded
גְּמִילוּת חֲסָדִים	gemilut hasadim
גַּמָּל	gamal
גָּמָל	gamal
גַּמֶּלֶת	gamelet
גָּמַר	gamar
גַּן	gan
גֶּן	gen
גַּן־יְלָדִים	gan yladim
גַּן עֵדֶן	gan eden
גַּנָּב	ganav
גָּנַב	ganav
גָּנְבָה	ganva
גָּנְבוּ	ganvu
גָּנַבְנוּ	ganavnu
גָּנַבְתְּ	ganavet
גָּנַבְתָּ	ganavta
גָּנַבְתִּי	ganavti
גְּנַבְתֶּם	ganavtem
גְּנַבְתֶּן	ganavten
גִּנָּה	gina
גְּנוֹסְטִי	gnosti
גְּנוֹסְטִיקָה	gnostiqa
גְּנוֹסִיס	gnosis
גְּנָזִים	gnazim
גְּנִיזָה	gniza
גַּנִּים	ganim
גֶּנִים	genim
גַּנָּן	ganan
גָּנַן	ganan
גַּנֶּנֶת	ganenet
גֶּנֶרָל	general
גַּסְטְרוֹנוֹמִי	gastronomi
גַּעְגּוּעַ	gagua
גֶּפֶן	gefen
גַּפְרוּר	gafrur
גָּ׳קוּזִי	djakuzi
גֶ׳קְסוֹן	jekson
גָּר	gar
גֵּר	ger
גְּרָ״א	gra
גֶּרֶב	gerev
גַּרְבִּיוֹן	garbiyon
גַּרְבִּיוֹנִים	garbiyonim
גַּרְבַּיִם	garbayim
גָּרָה	gara
גָּרָה	gara
גֵּרָה	gera
גֵּרָה	gera
גְּרוּזְיָה	gruzya
גְּרוּזִינִית	gruzinit
גְּרוּטָאָה	grutaa
גָּרוֹן	garon
גְּרוֹנִי	groni
גֵּרוּשִׁין	geirushin
גַּרְזֶן	garzen
גֵּרִים	gerim
גְּרִיסָה	grisa
גָּרַם	garam
גֶּרְמָנִי	germani
גֶּרְמַנְיָה	germanya
גֶּרְמָנִית	germanit
גַּרְעִין	garin
גַּרְעִינֵי	garine
גַּרְעִינִי	garini
גַּרְעִינִים	garinim
גְּרָף	graf
גֵּרֵשׁ	geiresh
גֵּרֵשׁ	geresh
גֹּרַשׁ	gorash
גֵּרְשַׁיִם	gershayim
גֵּרְשֹׁם	gershom
גָּרַת	garat
גַּרְתְּ	gart
גַּרְתָּ	garta
גֵּרַת	gerat
גָּשׁוּם	gashum
גָּשׁוֹשׁ	gashosh
גֶּשֶׁם	geshem
גֻּשְׁפַּנְקָה	gushpanka
גֶּשֶׁר	gesher
גַּת	gat
גִּתִּית	gitit
ד״א	d.a.
דָּאַב	daav
דָּאַג	daag
דְּאָגָה	daga
דַּאֲגָן	daagan
דָּאָה	daa
דֹּאַר	doar
דֹּאַר אֶלֶקְטְרוֹנִי	doar elektroni
דֹּב	dov
דֻּבְדְּבָן	duvdvan
דִּבּוּר	dibur
דְּבוֹרָה	dvora
דָּבָר	davar
דֶּבֶר	dever
דִּבֵּר	diber
דֻּבַּר	dubar
דָּבָר אַחֵר	davar acher
דִּבְּרָה	dibra
דִּבְרֵי הַיָּמִים	divrei hayamim
דִּבְרֵי יְמֵי	divre yme
דְּבָרִים	dvarim
דְּבָרִים אֲחֵרִים	dvarim acherim
דַּבֶּרְךָ	dabercha
דְּבָרְךָ	dvarcha
דְּבַשׁ	dvash
דָּג	dag
דָּג	dag
דִּגְדֵּג	digdeg
דָּגִים	dagim
דֶּגֶל	degel
דִּגֵּל	digel
דֻּגְמָא	dugma
דֻּגְמָה	dugma
דָּגֵשׁ	dages
דַּד	dad
דָּהַר	dahar
דּוֹ	do
דּוּ	du-
דואר זבל	doar-zevel
דּוֹבֵר	dover
דּוֹגְמָה	dogma
דָּוִד	david
דּוֹד	dod
דּוּד	dud
דּוֹדָה	doda
דּוֹדִים	dodim
דּוּדִים	dudim
דִּוּוּר	divur
דּוֹלְפִין	dolfin
דּוֹלָר	dolar
דוּן	dun
דוֹסִי	dosi
דַּוְקָא	davka
דוֹקטוֹר	doktor
דַּוָּר	davar
דּוֹר	dor
דּוֹרוֹן	doron
דּוֹרוֹת	dorot
דּוֹרִית	dorit
דָּחָה	dakha
דַּחְלִיל	dakhlil
דֹּחַן	dochan
דַּחַף	dakhaf
דָּחַף	dakhaf
דַּי	dai
דֵּי	dei
דִּיאֵטָה	dieta
דַּיָּג	dayag
דַּיָּה	daya
דִּיוֹ	diyo
דְּיוֹ	dyo
דִּיּוּן	diyun
דִּיּוּנִים	diyunim
דְּיוֹתָא	dyota
דְּיוֹתָה	dyota
דַּיָּן	dayan
דִּין	din
דִּיסְק קָשִׁיח	disk kashiakh
דִיפְּלוֹמָטִי	diplomati
דִּיפְּלוֹמַטְיָה	diplomatya
דִּיקְטָטוּרָה	diqtatura
דִּיקָן	dikan
דִּירָה	dira
דִּכֵּא	dike
דֻּכָּא	duka
דָּלָה	dala
דְּלִי	dli
דָּלִיק	dalik
דְלעת	dlaat
דֶּלֶק	delek
דְּלֵקָה	dleika
דַּלֶּקֶת	daleket
דָּלֶ״ת	dalet
דָּלֶת	dalet
דֶּלֶת	delet
דֶּלְתָּא	delta
דֶּלְתּוֹת	deltot
דְּלָתוֹת	dlatot
דָּם	dam
דָּמָה	dama
דֶּמֶה	deme
דֵּמוֹקְרַטְיָה	demokratya
דְּמוּת	dmut
דָּמִים	damim
דִּמְיֵן	dimyen
דִּמֵּם	dimem
דְּמָמָה	dmama
דִּמְעָה	dima
דַּמֶּשֶׂק	dammeseq
דָּן	dan
דָּנִיֵּאל	daniyel
דֶּנְיִת	denit
דֶּנְמַרְק	denmark
דֵּעָה	dea
דַּעַת	daat
דַּף	daf
דַּפְדְּפָן	dafdfan
דַּפִּים	dapim
דָּפַק	dafak
דִּפְתָּר	diftar
דֵּצֶמְבֶּר	detsember
דַּק	dak
דִּקְדּוּק	dikduk
דַּקָּה	daka
דַּקָּה	daka
דְּקִירָה	dkira
דָּקֶל	daqel
דֶּקֶל	deqel
דְקָלִים	dkalim
דַּקָּר	dakar
דָּקַר	dakar
דֶּקֶר	deker
דַּר	dar
דָּר	dar
דֹּר	dor
ד״ר	dr
דַּרְבּוּקָה	darbuka
דֶּרֶג	dereg
דְּרַגְנוֹעַ	dragnoa
דָּרוֹם	darom
דְּרוֹר	dror
דָּרְיָוֶשׁ	daryavesh
דָּרַךְ	darach
דֶּרֶךְ	derekh
דֶּרֶךְ אֶרֶץ	derech erets
דַּרְכּוֹן	darkon
דַּרְכּוֹנִים	darkonim
דְּרָכִים	drachim
דַּרְקוֹן	darkon
דְּרָקוֹן	drakon
דָּרַשׁ	darash
ד־ר־שׁ	d-r-sh
דָּשָׁא	dasha
דֶּשֶׁא	deshe
דָּת	dat
דָּתִי	dati
־ָה	-a
־ָהּ	-ah
הֲ־	ha-
הַ־	ha-
הָא	ha
הֵ״א	he
הֵא	he
האו״ם	hau.m.
הָאוֹקְיָנוֹס הָאַטְלַנְטִי	haokyanos haatlanti
הָאוֹקְיָנוֹס הַדְרוֹמִי	haokyanos hadromi
הָאוֹקְיָנוֹס הַהׂדּי	haokyanos hahodi
הָאוֹקְיָנוֹס הַשָּׁקַט	haokyanos hashaket
הָאוֹר	haor
הֶאֱזִין	heezin
הָאֶזְרָח	haezrakh
הָאַחֵרוֹת	haakherot
הָאַחֵרִים	haakherim
הֵאֵט	heet
הָאִינְטֶרְנֶט	hainternet
הֵאִיץ	heits
הֵאִיר	heir
הַאִם	haim
הַאם	ham
הֶאֱמִין	heemin
הָאָרֶץ	haarets
הֶאֱשִׁים	heeshim
הַב	hav
הַבָּא	haba
הָבֵא	have
הִבְדִּיל	hivdil
הֶבְדֵּל	hevdel
הֻבְדַּל	huvdal
הַבְדָּלָה	havdala
הָבָה	hava
הִבְהִיר	hivhir
הַבְהָרָה	havhara
הַבְטָחָה	havtakha
הִבְטִיחַ	hivtiakh
הֵבִיא	hevi
הִבִּיט	hibit
הֵבִיךְ	heivikh
הֵבִין	hevin
הֵבִיס	hevis
הַבַּיִת	habayit
הַבַּיְתָה	habayta
הֶבֶל	hevel
הִבְלִיעַ	hivlia
הֲבָנָה	havana
הֵבַנּוּ	hevanu, hevannu
הֲבָנוֹת	havanot
הֲבָנַת־	havanat-
הברות	havarot
הֻבְרַח	huvrakh
הִבְרִיג	hivrig
הִבְרִיחַ	hiviakh
הַבְּרִית	habrit
הִבְשִׁיל	hivshil
הַגָּאוֹן מִוִּילְנָה	hagaon mivilna
הֲגָבָה	hagava
הַגְבָּהָה	hagbaha
הִגְבִּיל	higbil
הִגְבִּיר	higbir
הֶגְבֵּל	hegbel
הַגְבָּלָה	hagbala
הֻגְבַּר	hugbar
הִגְדִּיל	higdil
הִגְדִּיר	higdir
הַגְדָּרָה	hagdara
הִגְזִים	higzim
הֵגִיב	hegiv
הִגִּיד	higid
הֲגִיָּה	hagiya
הִגִּיעַ	higia
הִגִּישׁ	higish
הַגָּלִיל	hagalil
הֵגֵן	hegen
הֻגְנַב	hugnav
הֲגַנָּה	hagana
הִגְנִיב	higniv
הַגָּעָה	hagaa
הָגָר	hagar
הַגֵּר	hager
הַגָּשָׁה	hagasha
הִדְאִיג	hidig
הִדְגִּישׁ	hidgish
הַדְגָּמָה	hadgama
הֲדָדִי	hadadi
הֹדּוּ	hodu
הִדְלִיק	hidlik
הֲדַס	hadas
הֲדַסָּה	hadasa
הָדָר	hadar
הִדְרִיךְ	hidrikh
הַדְרָכָה	hadrakha
הָהִיסְטוֹרְיוֹגְרַפְיָה	hahistoryografya
‎הָהָר‎	hahar
הַהַשְׂכָּלָה	hahaskala
הֱוֵא	heve
הוּא	hu
הוּאַץ	huats
הוּאַר	huar
הוֹבִיל	hovil
הוּבַל	huval
הוֹד	hod
הוֹדָה	hoda
הוֹדוּ	hodu
הוֹדִיעַ	hodia
הוֹדָעָה	hodaa
הוֹוֶה	hove
הוֹזִיל	hozil
הוּכַח	hukhakh
הוֹכָחָה	hokhakha
הוֹכִיחַ	hokhiakh
הוּכַן	hukhan
הוֹלִיד	holid
הוֹלֵךְ	holekh
הוֹלֵךְ־רֶגֶל	holekh-regel
הוֹלֶכֶת־רֶגֶל	holekhet-regel
הוֹלֵל	holel
הוֹלֵם	holem
הוֹלַנְד	holand
הוֹלַנְדִּי	holandi
הוֹלַנְדִּית	holandit
הוֹמוֹגְרָף	homograf
הוֹמוֹסֶקְסוּאָלִיּוּת	homoseksualiut
הִוֵּן	hiven
הוֹן	hon
הֻוַּן	huvan
הוּנְגָּרִית	hungarit
הוֹסִיף	hosif
הוּסַף	husaf
הוֹעִיל	hoil
הוֹפִיעַ	hofia
הוֹפָעָה	hofaa
הוֹצֵא	hotse
הוֹצִיא	hotsi
הוֹצִיאֲךָ	hotsiacha
הוֹרָאָה	horaah
הוּרַד	hurad
הוֹרְדוֹס	hordus
הוֹרָה	hora
הוֹרָה	hora
הוֹרֶה	hore
הוֹרִיד	horid
הוֹרִים	horim
הוֹרִישׁ	horish
הוֹרֵס	hores
הוּשַׁב	hushav
הוֹשִׁיב	hoshiv
הוֹשִׁיעַ	hoshia
הוֹשֵׁעַ	hoshea
הוֹתִיר	hotir
הִזְדַּיֵּן	hizdayen
הִזְדַּמְּנוּת	hizdamnut
הִזְדַּעֲזֵעַ	hizdaazea
הִזְדַּעַזְעוּת	hizdaazut
הִזְדַּקֵּן	hizdaken
הִזְדַּקְּנוּת	hizdaknut
הִזְדָּרֵז	hizdarez
הַזֶּה	haze
הִזְהִיר	hizhir
הֲזָזָה	hazaza
הֵזִיז	heziz
הִזִּיעַ	hizia
הִזִּיק	hizik
הִזְכִּיר	hizkir
הֻזְכַּר	huzkar
הִזְמִין	hizmin
הַזְמָנָה	hazmana
הִזְרִיק	hizrik
הֶחְבִּיא	hekhbi
הֶחָג	hechag
הֶחָג	hehag
הֶחְדִּיר	hekhdir
החופש הגדול	hakhofesh hagadol
הֶחְזִיק	hekhzik
הֶחְזִיר	hekhzir
הֶחְזֵר	hekhzer
הֶֽחֱזַֽרְתָּ	hekhezarta
הֵחִיל	hekhil
הֵחֵל	hekhel
הֻחְלַט	hukhlat
הַחְלָטָה	hakhlata
הֶחְלִיט	hekhlit
הֵחָלְשׁוּת	heikhalshut
הֶחְמִיץ	hekhmits
הֶחְשִׁיךְ	hekhshikh
הֻחְשַׁךְ	hukhshakh
הִטַּגֵּן	hitagen
הִטָּה	hita
הִטַּהֵר	hitaher
הִטָּהֵר	hitaher
הַטּוֹבִים	hatovim
הַטְמָעָה	hatmaa
הִטַּנֵּף	hitanef
הַטְעָמָה	hatama
הֶטְרוֹסֶקְסוּאָלִיּוּת	heteroseksualiut
הִיא	hi
הָיָה	haya
הַיּוֹם	hayom
הַי טֶק	hai tek
הָיִית	hayit
הָיִיתָ	hayita
הָיִיתִי	hayiti
הֵיכָן	hechan
הֵימִין	heimin
הִיסְטוֹרִי	histori
הִיסְטוֹרְיוֹגְרַפְיָה	historyografya
הִיפּוֹפּוֹטָם	hiypopotam
הַיַּרְדֵּ֔ן	hayyarden
הַיִּשּׁוּב	hayishuv
הַיִּשְׂרְאֵלִי	hayisreli
הַיִּשְׂרְאֵלִית	hayisrelit
הָיְתָה	haita
הִכְאִיב	hikhiv
הִכָּה	hika
הֻכָּה	huka
הִכְחִישׁ	hikhkhish
הֲכִי	hakhi
הֵכִיל	hekhil
הֵכִין	hekhin
הִכִּיר	hikir
הִכִּישׁ	hikish
הֲכָנָה	hakhana
הִכְנִיס	hikhnis
הַכְנָסָה	hakhnasa
הַכְּנֶסֶת	hakneset
הִכְעִיס	hikhis
הֻכַּר	hukar
הַכָּרָה	hakara
הִכְרִיז	hikhriz
הִכְרִיחַ	hikhriakh
הִכְשִׁיר	hikhshir
הֶכְשֵׁר	hekhsher
הֻכְשַׁר	hukhshar
הִכְתִּיב	hikhtiv
הִכְתִּים	hikhtim
הִכְתִּיר	hikhtir
הֻכְתַּר	hukhtar
הִלְבִּין	hilbin
הִלְבִּישׁ	hilbish
הֻלֶּדֶת	huledet
הִלְהִיט	hilhit
הַלְוַאי	halvay
הִלְחִים	hilkhim
הֶלְיוּם	helyum
הֲלִיכָה	halikha
הַלִּיכּוּד	ha-likud
הֲלִיכוֹת	halichot
הֲלִיכַת	halichat
הַלַּיְלָה	halayla
הָלַךְ	halakh
הָלַךְ לְאִבּוּד	halakh libud
הָלַךְ לְעוֹלָמוֹ	halach lolamo
הֲלָכָה	halakha
הָלְכָה	halkha
הֲלָכוֹת	halakhot
הִלְכוֹת	hilkhot
הִלְכָתִי	hilkhati
הִלֵּל	hilel
הַלְלוּ	hallu
הַלְּלוּיָהּ	halluyah
הֵם	hem
הם	him
הַמֵּאָה	hamea
הָמָה	hama
הֵמָּה	hema
הָמוֹן	hamon
הַמּוֹצִיא	hamotzi
המחשבה	hamakhshava
הָמַחְשָׁבוֹת	hamakhshavot
הִמְלִיחַ	himliakh
הִמְלִיךְ	himlikh
הִמְלִיץ	himlits
הַמְלָצָה	hamlatsa
הַמֶּמְשָׁלָה	hamemshala
הָמָן	haman
המערב	hamaarav
הַמְצָאָה	hamtsaa
הִמְצִיא	himtsi
הַמָּקוֹם	hamakom
הֲמָרָה	hamara
הִמְרִיא	himri
הַמִשְׂחָקִים הַאוֹלִימְפִּיִּים	hamiskhakim haolimpiyim
הִמְשִׁיךְ	himshikh
הֶמְשֵׁךְ	hemshekh
הֶמְשֵׁךְ יָבוֹא	hemshekh yavo
הֶמְשֵׁכִי	hemshekhi
הַמִּשְׁכָּן	hamishkan
הִמְתִּין	himtin
הִמְתִּינוּ	himtinu
הֵן	hen
הַנְדָּסָה	handasa
הֵנָּה	hena
הִנָּה	hina
הִנֵּה	hine
הִנְהִיג	hinhig
הֲנָחָה	hanakha
הִנְחָה	hinkha
הֵנִיחַ	heniakh
הַנַּכְּבָּה	hanakba
הֵסֵב	hesev
הִסְבִּיר	hisbir
הֶסְבֵּר	hesber
הִסְגִּיר	hisgir
הַסְּטוּדֶנְטִים	hastudentim
הִסְטוֹרְיָה	historia
הִסִּיעַ	hisia
הֵסִיר	hesir
הִסְכִּים	hiskim
הֶסְכֵּם	heskem
הַסְכָּמָה	haskama
הַסְלָמָה	haslamah
הִסְמִיק	hismik
הֻסַּע	husa
הַסָּעָה	hasaa
הִסְפִּיק	hispik
הֲסָרָה	hasara
הִסְתַּגֵּר	histager
הִסְתַּדְּרוּת	histadrut
הֲסָתָה	hasata
הִסְתַּיֵּם	histayem
הִסְתִּיר	histir
הִסְתַּכֵּל	histakel
הִסְתָּעֵף	histaef
הִסְתַּתֵּר	histater
הָעֲבוֹדָה	haavoda
הֶעֱבִיד	heevid
הֶעֱבִיר	heevir
הֶעֱדִיף	heedif
הֵעָדֵר	header
הָעוֹלָם	haolam
הֵעֵז	heez
הֵעִיף	heif
הָעִיר	hair
הֵעִיר	heir
הֶעֱלָה	heela
הָעָם	haam
הָעֲמִידָה	amida
הָעֶרֶב	haerev
הָעֲרָבָה	haarava
הֶעֱרִיץ	heerits
הִפְגִּין	hifgin
הָפוּךְ	hafukh
הִפְחִיד	hifkhid
הִפְחִית	hifkhit
הַפְחָתָה	hafkhata
הִפְטִיר	hiftir
הַפְטָרָה	haftara
הָפִיךְ	hafikh
הַפִּירָמִידָה	hapiramida
הָפַך	hafakh
הֲפֵכָה	hafekha
הִפְלִיא	hifli
הִפְלִיץ	hiflits
הִפְנָה	hifna
הִפְסִיד	hifsid
הִפְסִיק	hifsik
הַפְסָקָה	hafsaka
הַפְסָקַת־אֵשׁ	hafsakat-esh
הִפְעִיל	hifil
הִפְצִיר	hiftsir
הִפְקִיעַ	hifki
‎הַפָּר	hapar
הַפְרָדָה	hafrada
הִפְרִיד	hifrid
הִפְרִיעַ	hifria
הַפְרָעָה	hafraa
הֻפְשַׁט	hufshat
הִפְשִׁיט	hifshit
הִפְתִּיעַ	hiftia
הַפְתָּעָה	haftaa
הִצְבִּיעַ	hitzbia
הַצָּגָה	hatzaga
הִצְהִיר	hitshir
